Gene_Symbol,ES3
TBC1D25,-0.673044864
ACSL4,-0.806822588
INPP5A,0.111256124
GPKOW,0.991230148
GRIPAP1,0.349648902
FTSJ1,1.5812627
REEP1,-0.572936242
ATP11A,-0.209314521
POLR1A,-0.269572066
LAPTM4A,2.675124084
TTC7A,-0.658510451
IP6K2,0.677688422
SRBD1,0.174717977
CYFIP1,0.981063975
KIF2A,1.574119317
RASGRP2,-0.470035134
PSME4,0.571866741
SIRT2,0.168597306
ERLEC1,1.224342885
PPP2R5B,0.493807031
PYGM,-0.720116358
PAGE1,-0.792136383
PITX1,-0.095256908
TRPC7,-0.720939964
MAST4,-0.786554194
GPR116,-0.966600868
SDK2,-0.865247358
ADAM7,-0.867115196
NUP133,0.97628223
NUCKS1,2.310521895
VPS35,1.82669106
DNAJA2,1.830133086
BCL3,-0.614437071
KCNAB2,-0.685372217
ABCC9,-0.842523864
GAL,-0.04945486
CLEC2D,-0.925770873
FUNDC1,1.98958547
MAOB,-0.887041265
RORA,-0.425446339
DRD4,-0.33828915
TGFBR3,0.700041049
KIAA1107,-0.34043452
PLA2G10,-0.912069583
HES2,-0.82956962
ATP1B3,1.057014444
NEDD4,0.392412221
PIGB,0.465007178
GNB5,0.146886031
RAB27A,-0.505154378
CECR5,1.488739777
UFD1L,-0.253968106
LRP6,-0.014048744
GUCY2C,-0.996797442
SCT,-0.633808295
PHRF1,0.20898961
IKBKAP,0.451041824
NUCB2,0.263219473
PFN2,0.094638827
PTPN3,-0.62127849
SPTB,-0.777888375
DAPP1,-0.84793123
FGF10,-0.944873703
SLC44A1,1.42721817
C14orf101,0.545989052
SMG6,-0.480272455
EXOC5,0.856846876
CLTCL1,-0.65544627
FGF22,-0.877739973
FSTL3,-0.886309289
DGCR2,-0.635485519
RNF126,0.31771978
MNT,-0.442704641
ZXDC,0.344664048
JMJD6,-0.613578351
POLB,2.18755252
ST6GALNAC1,-0.987367426
WIPI1,-0.728753297
FRMPD1,-0.882824359
GBA2,0.47030579
NDST1,-0.418817686
ASNS,3.430595205
AP3M2,0.750621913
CNGB1,-0.793926114
ST6GALNAC2,-1.075919199
CHAT,-0.523230958
TESK2,-0.79633027
C16orf80,1.840839593
CSNK2A2,1.39398932
PTPN21,-0.854030805
EIF2B3,1.991205251
CAMK2A,-0.858949167
TCOF1,-0.283265813
CDC42,0.326001422
OSBPL3,-0.383680528
EPHA8,-0.859039054
SLC12A3,-0.915406815
RAD18,0.34186191
ATP2B1,0.603073382
TRPM5,-0.858313677
NCK2,-0.365046763
MAP4K4,1.30363898
MGAT4A,-0.745531309
RPL31,1.794480863
WDR1,0.616082694
SNX13,0.771218756
MS4A12,-0.890377707
ARHGAP10,-0.03977776
RPS6KA2,-0.081848919
ING3,0.427498352
VASH1,-0.579678416
LMCD1,-0.694723514
WBSCR22,1.874658075
SEL1L,0.692731011
